,player_name,birth_date,Club Team,nationality,position,minutes_played,shots_per90,shots_on_target_per90,goals_per90,xgoals_per90,xplace_per90,key_passes_per90,primary_assists_per90,xassists_per90,xgoals_plus_xassists_per90,points_added_per90,xpoints_added_per90,attempted_passes_per90,passes_completed_over_expected_per90,Dribbling_goals_added_raw_per90,Dribbling_goals_added_above_avg_per90,Dribbling_count_actions_per90,Fouling_goals_added_raw_per90,Fouling_goals_added_above_avg_per90,Fouling_count_actions_per90,Interrupting_goals_added_raw_per90,Interrupting_goals_added_above_avg_per90,Interrupting_count_actions_per90,Passing_goals_added_raw_per90,Passing_goals_added_above_avg_per90,Passing_count_actions_per90,Receiving_goals_added_raw_per90,Receiving_goals_added_above_avg_per90,Receiving_count_actions_per90,Shooting_goals_added_raw_per90,Shooting_goals_added_above_avg_per90,Shooting_count_actions_per90,passes_completed_over_expected_p100passes,goalsAdded_raw_per90,goalsAdded_above_avg_per90
Andres Jasson,Andres Jasson,2002-01-17,New York City FC,USA,W,933,1.639871382636656,0.48231511254019294,0.28938906752411575,0.19661093247588424,0.03864308681672026,1.0610932475884245,0.09646302250803858,0.08441479099678456,0.2810257234726688,0.14440514469453375,0.0975144694533762,23.536977491961416,0.026604501607717043,-0.025456591639871386,-0.036520900321543405,17.942122186495176,0.008565916398713826,0.0004147909967845659,4.244372990353698,0.02211897106109325,-0.020961414790996787,8.102893890675242,-0.021540192926045018,-0.022919614147909967,23.536977491961416,0.10472025723472668,0.0032508038585209002,25.080385852090032,0.05257234726688104,0.006395498392282958,1.639871382636656,0.113,0.1409807073954984,-0.07034083601286174
Arquimides Ordonez,Arquimides Ordonez,2003-08-05,FC Cincinnati,USA,ST,316,1.4240506329113924,0,0,0.23832911392405062,-0.23832911392405062,0.8544303797468354,0,0.03810759493670886,0.2764367088607595,0,0.17851898734177216,18.227848101265824,-0.2493227848101266,-0.12665506329113926,-0.11400949367088607,15.094936708860759,0.02158860759493671,0.009455696202531646,4.272151898734177,0.022955696202531645,-0.008943037974683547,3.9873417721518987,-0.07789556962025317,-0.04858860759493671,18.227848101265824,0.17401898734177215,-0.0033607594936708863,21.075949367088608,0.02566139240506329,-0.0387626582278481,1.4240506329113924,-1.3678,0.03967405063291135,-0.20420886075949365
Dante Sealy,Dante Sealy,2003-04-17,FC Dallas,USA,W,404,0.6683168316831684,0.44554455445544555,0,0.16271287128712872,-0.15507178217821785,0.6683168316831684,0,0.027089108910891092,0.18980198019801978,0,0.11053960396039604,30.297029702970296,-0.6739752475247525,0.03526485148514851,0.021720297029702972,22.277227722772277,-0.009445544554455445,-0.014324257425742577,3.5643564356435644,0.042928217821782175,-0.004254950495049506,9.801980198019802,-0.03158910891089109,-0.0460470297029703,30.297029702970296,0.09532425742574258,0.023524752475247525,28.06930693069307,0.013745049504950497,-0.021698019801980196,0.6683168316831684,-2.2245,0.14622772277227722,-0.04107920792079209
Ibrahim Sunusi,Ibrahim Sunusi,2002-10-01,CF Montréal,Nigeria,ST,1282,2.3166926677067083,0.7020280811232449,0.21060842433697347,0.33801248049921995,-0.07965912636505461,1.4040561622464898,0.21060842433697347,0.17625117004680188,0.5142636505460219,0.14411934477379096,0.20720358814352577,21.411856474258972,-1.0506482059282372,-0.0020920436817472698,-0.0010460218408736349,12.49609984399376,0.0011794071762870517,-0.0064446177847113885,2.1060842433697347,0.020787051482059282,-0.02068876755070203,2.4570982839313573,-0.03669500780031202,-0.034595943837753516,21.411856474258972,0.23606396255850234,0.11665600624024963,23.44773790951638,0.0582191887675507,0.010305772230889236,2.3166926677067083,-4.9069,0.2774625585023401,0.0641864274570983
Jacen Russel-Rowe,Jacen Russel-Rowe,2002-09-13,Columbus Crew,Canada,ST,661,2.5869894099848714,1.361573373676248,0.5446293494704992,0.472357034795764,-0.02102269288956127,1.6338880484114977,0.2723146747352496,0.272518910741301,0.744875945537065,0.02659152798789713,0.19659757942511347,23.41906202723147,-0.2948759455370651,-0.03996217851739789,-0.03693948562783661,12.934947049924357,-0.0010484114977307112,-0.01195461422087746,1.361573373676248,0.00905446293494705,-0.02762632375189107,4.357034795763994,0.011055975794251136,0.015004538577912256,23.41906202723147,0.27521482602118,0.1358441754916793,27.23146747352496,0.06690771558245083,0.010824508320726173,2.5869894099848714,-1.2591,0.32122239031770045,0.08515279878971259
Diego Gomez,Diego Gomez,2003-03-27,Inter Miami CF,Paraguay,CM,441,1.0204081632653061,0.20408163265306123,0.20408163265306123,0.11338775510204081,-0.019612244897959187,1.0204081632653061,0,0.11528571428571431,0.2286734693877551,0.14648979591836736,0.10771428571428572,41.02040816326531,-0.9292857142857142,0.008836734693877552,-0.0025918367346938775,13.673469387755102,0.0069387755102040816,0.003551020408163266,3.4693877551020407,0.0783469387755102,0.024183673469387757,12.448979591836734,-0.08685714285714285,-0.10491836734693877,41.02040816326531,0.050530612244897966,-0.011632653061224489,34.08163265306123,0.01926530612244898,-0.013530612244897959,1.0204081632653061,-2.2654,0.07706122448979592,-0.10493877551020407
Bertin Jacquesson,Bertin Jacquesson,2001-11-30,Real Salt Lake,France,W,400,2.7,0.9,0,0.132885,-0.0483975,0.675,0,0.09301500000000001,0.2259225,0,0.13668750000000002,17.325,-0.7124625,-0.0297225,-0.029745000000000004,9.675,-0.001665,-0.012352500000000002,1.575,0.02466,-0.012015,2.25,-0.007245000000000001,0.008910000000000001,17.325,0.104895,-0.037305000000000005,18.225,0.0534375,-0.0032400000000000003,2.7,-4.1123,0.14436,-0.08574750000000002
Gastón Brugman,Gastón Brugman,1992-09-07,LA Galaxy,Uruguay,DM,2102,1.1988582302568982,0.3425309229305423,0.08563273073263558,0.09513796384395813,0.018466698382492864,0.8991436726926736,0.04281636536631779,0.06666079923882018,0.1617987630827783,0.029055185537583253,0.062293529971455756,67.73549000951475,1.9711841103710752,0.040041864890580404,0.030904852521408184,17.64034253092293,-0.0012588011417697432,0.0012844909609895337,2.8258801141769743,0.11477354900095148,0.048232635585156995,13.230256898192199,0.08580399619410087,0.048605137963843956,67.73549000951475,0.015002854424357753,-0.015589438629876311,57.80209324452902,0.02354900095147479,0.0043544243577545196,1.1988582302568982,2.9101,0.2779124643196955,0.11779210275927689
Éric Davis,Éric Davis,1991-03-30,D.C. United,Panama,FB,605,0.4462809917355372,0,0,0.02505123966942149,-0.02505123966942149,1.0413223140495869,0,0.12350082644628099,0.14853719008264465,0,0.014236363636363639,50.28099173553719,0.22120661157024796,-0.03800826446280992,-0.04513388429752066,10.710743801652892,0.0016214876033057851,0.005816528925619835,0.743801652892562,0.05765950413223141,0.0008925619834710745,12.644628099173554,0.07873884297520661,0.04235206611570248,50.28099173553719,0.04732066115702479,0.026732231404958676,30.049586776859503,0.011067768595041324,0.00010413223140495868,0.4462809917355372,0.4399,0.1584,0.030763636363636365
Carles Gil,Carles Gil,1992-11-22,New England Revolution,Spain,AM,3009,2.362911266201396,0.9272183449651047,0.32901296111665007,0.23062313060817546,0.09002392821535395,2.901296111665005,0.23928215353938184,0.27644566301096707,0.5070687936191426,0.23377268195413758,0.12891625124626124,57.39780658025922,0.6257377866400797,0.05251345962113659,0.04167696909272183,31.076769690927218,0.015281156530408775,0.006346959122632103,2.542372881355932,0.05497806580259222,0.01119541375872383,6.251246261216351,0.07855633100697908,0.05017148554336989,57.39780658025922,0.06819541375872383,-0.018182452642073778,50.787637088733796,0.05586340977068794,0.011706879361914257,2.362911266201396,1.0902,0.32538783649052844,0.10291525423728815
